状態	種類	目	口	目の開き	口の開き
台詞	hs_00_02_91_00_00	不機嫌	無表情	75	0
台詞	hs_00_02_91_00_10	激怒	無表情	60	0
台詞	hs_01_02_00_01_00	不機嫌	困り	75	0
台詞	hs_01_02_00_01_10	大泣き	困り	60	0
台詞	hs_01_02_01_01_00	激怒	困り	100	0
台詞	hs_01_02_01_01_10	歪み左	困り	75	0
台詞	hs_10_02_00_01_00	痛がり	困り	75	0
台詞	hs_10_02_00_01_10	痛がり	困り	0	0
台詞	hs_10_02_00_02_00	歪み左	痛がり	75	0
台詞	hs_10_02_00_02_10	痛がり	食いしばり	0	0
台詞	hs_10_02_00_03_00	痛がり	痛がり	40	0
台詞	hs_10_02_00_03_10	アヘB	食いしばり	100	0
台詞	hs_10_02_01_01_00	痛がり	困り	40	0
台詞	hs_10_02_01_01_10	感じ	困り	100	0
台詞	hs_10_02_01_02_00	感じ	喜び	100	0
台詞	hs_10_02_01_02_10	アヘB	喜び	100	0
台詞	hs_10_02_01_03_00	痛がり	痛がり	60	0
台詞	hs_10_02_01_03_10	痛がり	食いしばり	0	0
台詞	hs_10_02_02_00_00	大泣き	困り	75	0
台詞	hs_10_02_02_00_10	痛がり	困り	100	0
台詞	hs_10_02_02_01_00	大泣き	無表情	75	0
台詞	hs_10_02_02_01_10	痛がり	無表情	0	0
台詞	hs_10_02_02_02_00	恥ずかし	無表情	75	0
台詞	hs_10_02_02_02_10	感じ	困り	75	0
台詞	hs_10_02_02_03_00	感じ	困り	75	0
台詞	hs_10_02_02_03_10	痛がり	困り	100	0
台詞	hs_10_02_02_06_00	大泣き	無表情	75	0
台詞	hs_10_02_02_06_10	感じ	喜び	75	0
台詞	hs_10_02_03_00_00	笑み	無表情	75	0
台詞	hs_10_02_03_00_10	感じ	無表情	75	0
台詞	hs_10_02_04_00_00	激怒	困り	100	0
台詞	hs_10_02_04_00_10	歪み右	困り	60	0
台詞	hs_10_02_04_01_00	大泣き	困り	75	0
台詞	hs_10_02_04_01_10	激怒	食いしばり	100	0
台詞	hs_10_02_10_00_00	大泣き	無表情	75	0
台詞	hs_10_02_10_00_01	痛がり	無表情	75	0
台詞	hs_10_02_10_00_10	感じ	喜び	0	0
台詞	hs_10_02_10_00_11	痛がり	喜び	100	0
台詞	hs_10_02_10_01_00	大泣き	困り	100	0
台詞	hs_10_02_10_01_01	痛がり	無表情	100	0
台詞	hs_10_02_10_01_10	痛がり	困り	40	0
台詞	hs_10_02_10_01_11	痛がり	困り	0	0
台詞	hs_10_02_11_00_00	感じ	困り	75	0
台詞	hs_10_02_11_00_10	感じ	喜び	75	0
台詞	hs_10_02_11_01_00	大泣き	困り	75	0
台詞	hs_10_02_11_01_10	恥ずかし	困り	75	0
台詞	hs_10_02_12_00_00	大泣き	無表情	60	0
台詞	hs_10_02_12_00_10	感じ	無表情	60	0
台詞	hs_10_02_12_01_00	感じ	無表情	75	0
台詞	hs_10_02_12_01_10	痛がり	無表情	60	0
台詞	hs_10_02_13_00_00	大泣き	無表情	75	0
台詞	hs_10_02_13_00_01	大泣き	喜び	75	0
台詞	hs_10_02_13_00_10	感じ	喜び	75	0
台詞	hs_10_02_13_00_11	アヘB	喜び	75	0
台詞	hs_10_02_13_01_00	痛がり	無表情	75	0
台詞	hs_10_02_13_01_01	痛がり	困り	75	0
台詞	hs_10_02_13_01_10	痛がり	困り	100	0
台詞	hs_10_02_13_01_11	痛がり	困り	75	0
台詞	hs_10_02_14_00_00	困り	無表情	75	0
台詞	hs_10_02_14_00_10	大泣き	無表情	75	0
台詞	hs_10_02_14_01_00	感じ	無表情	75	0
台詞	hs_10_02_14_01_10	痛がり	無表情	75	0
台詞	hs_10_02_15_00_00	痛がり	無表情	60	20
台詞	hs_10_02_15_00_10	感じ	喜び	40	20
台詞	hs_10_02_20_00_00	痛がり	困り	100	0
台詞	hs_10_02_20_00_10	痛がり	困り	75	0
台詞	hs_10_02_20_01_00	痛がり	困り	0	0
台詞	hs_10_02_20_01_10	痛がり	困り	60	0
台詞	hs_10_02_20_02_00	痛がり	無表情	75	0
台詞	hs_10_02_20_02_10	痛がり	無表情	60	0
台詞	hs_10_02_20_03_00	痛がり	無表情	0	0
台詞	hs_10_02_20_03_10	痛がり	無表情	75	0
台詞	hs_10_02_91_00_00	痛がり	無表情	75	0
台詞	hs_10_02_91_00_10	痛がり	無表情	0	0
台詞	hs_11_02_00_01_00	大泣き	困り	75	0
台詞	hs_11_02_00_01_10	感じ	喜び	60	0
台詞	hs_11_02_00_02_00	感じ	痛がり	60	0
台詞	hs_11_02_00_02_10	感じ	食いしばり	0	0
台詞	hs_11_02_00_03_00	アヘB	食いしばり	60	0
台詞	hs_11_02_00_03_10	アヘB	食いしばり	100	0
台詞	hs_11_02_01_01_00	恥ずかし	喜び	75	0
台詞	hs_11_02_01_01_10	恥ずかし	喜び	0	0
台詞	hs_11_02_01_02_00	アヘB	喜び	75	0
台詞	hs_11_02_01_02_10	アヘA	喜び	60	0
台詞	hs_11_02_01_03_00	大泣き	痛がり	75	0
台詞	hs_11_02_01_03_10	痛がり	食いしばり	0	0
台詞	hs_11_02_02_04_00	大泣き	困り	75	0
台詞	hs_11_02_02_04_10	恥ずかし	困り	60	0
台詞	hs_11_02_02_05_00	大泣き	喜び	75	0
台詞	hs_11_02_02_05_10	恥ずかし	喜び	60	0
台詞	hs_11_02_02_07_00	痛がり	困り	75	0
台詞	hs_11_02_02_07_10	アヘB	困り	75	0
台詞	hs_11_02_02_08_00	恥ずかし	無表情	75	0
台詞	hs_11_02_02_08_10	アヘB	喜び	75	0
台詞	hs_11_02_03_00_00	恥ずかし	無表情	60	0
台詞	hs_11_02_03_00_10	感じ	無表情	75	0
台詞	hs_11_02_03_01_00	大泣き	無表情	75	0
台詞	hs_11_02_03_01_10	感じ	無表情	60	0
台詞	hs_11_02_03_02_00	大泣き	困り	75	0
台詞	hs_11_02_03_02_10	痛がり	困り	75	0
台詞	hs_11_02_03_03_00	恥ずかし	喜び	75	0
台詞	hs_11_02_03_03_10	感じ	喜び	60	0
台詞	hs_20_02_00_00_00	アヘB	アヘE	50	0
台詞	hs_20_02_00_00_10	アヘA	アヘE	40	0
台詞	hs_20_02_01_00_00	アヘA	アヘE	40	0
台詞	hs_20_02_01_00_10	アヘA	アヘE	40	0
台詞	hs_20_02_03_00_00	アヘB	無表情	100	0
台詞	hs_20_02_03_00_10	アヘB	無表情	100	0
台詞	hs_20_02_10_00_00	アヘB	アヘE	75	0
台詞	hs_20_02_10_00_01	アヘB	アヘD	40	0
台詞	hs_20_02_10_00_10	アヘB	アヘD	40	0
台詞	hs_20_02_10_00_11	アヘA	アヘE	40	0
台詞	hs_20_02_11_00_00	アヘC	アヘE	100	0
台詞	hs_20_02_11_00_10	アヘB	アヘD	40	0
台詞	hs_20_02_12_00_00	アヘA	無表情	70	0
台詞	hs_20_02_12_00_10	アヘA	無表情	50	0
台詞	hs_20_02_13_00_00	アヘB	アヘE	50	0
台詞	hs_20_02_13_00_01	アヘB	アヘD	60	0
台詞	hs_20_02_13_00_10	激怒	アヘD	100	0
台詞	hs_20_02_13_00_11	アヘA	アヘE	60	0
台詞	hs_20_02_13_00_00	アヘB	アヘE	50	0
台詞	hs_20_02_13_00_01	アヘB	アヘD	60	0
台詞	hs_20_02_13_00_10	激怒	アヘD	100	0
台詞	hs_20_02_13_00_11	アヘA	アヘE	60	0
台詞	hs_20_02_14_00_00	アヘA	無表情	50	0
台詞	hs_20_02_14_00_10	アヘC	無表情	100	0
台詞	hs_20_02_14_00_00	アヘA	無表情	100	0
台詞	hs_20_02_14_00_10	アヘC	無表情	100	0
台詞	hs_20_02_20_00_00	アヘA	アヘE	50	0
台詞	hs_20_02_20_00_10	アヘB	アヘE	100	0
台詞	hs_20_02_20_01_00	アヘA	アヘE	50	0
台詞	hs_20_02_20_01_10	アヘA	アヘE	100	0
台詞	hs_20_02_91_00_00	アヘA	アヘE	70	0
台詞	hs_20_02_91_00_10	アヘA	アヘE	50	0
台詞	hh_00_00_00_00	恥ずかし	無表情	75	0
台詞	hh_00_00_01_00	アヘC	無表情	100	0
台詞	hh_00_01_00_00	不機嫌	困り	75	0
台詞	hh_00_01_01_00	激怒	困り	75	0
台詞	hh_00_02_00_00	不機嫌	無表情	100	0
台詞	hh_00_02_01_00	激怒	無表情	100	0
台詞	hh_00_03_00_00	不機嫌	無表情	100	0
台詞	hh_00_03_01_00	激怒	無表情	75	0
台詞	hh_10_00_00_00	感じ	無表情	100	0
台詞	hh_10_00_01_00	感じ	無表情	60	0
台詞	hh_10_01_00_00	大泣き	無表情	100	0
台詞	hh_10_01_01_00	痛がり	無表情	75	0
台詞	hh_10_02_00_00	大泣き	無表情	100	0
台詞	hh_10_02_01_00	痛がり	無表情	75	0
台詞	hh_10_03_00_00	大泣き	無表情	100	0
台詞	hh_10_03_01_00	痛がり	無表情	75	0
台詞	hh_20_00_00_00	アヘA	アヘE	50	0
台詞	hh_20_00_01_00	アヘC	アヘE	100	0
台詞	hh_20_01_00_00	アヘB	無表情	50	0
台詞	hh_20_01_01_00	アヘB	無表情	100	0
台詞	hh_10_02_00_00	大泣き	無表情	100	0
台詞	hh_10_02_01_00	痛がり	無表情	75	0
台詞	hh_10_03_00_00	大泣き	無表情	100	0
台詞	hh_10_03_01_00	痛がり	無表情	75	0
台詞	hs_90_03_00_01_00	アヘB	食いしばり	80	0
台詞	hs_90_03_00_01_00	アヘB	食いしばり	80	0
台詞	hs_90_03_01_00_00	アヘB	食いしばり	100	0
台詞	hs_90_03_02_01_00	アヘC	無表情	100	0
台詞	hs_00_03_00_00_00	アヘB	困り	60	0
台詞	hs_00_03_00_00_01	激怒	困り	100	0
台詞	hs_00_03_00_01_10	激怒	食いしばり	100	0
台詞	hs_00_03_00_02_10	アヘB	困り	60	0
台詞	hs_00_03_00_03_00	アヘB	食いしばり	80	0
台詞	hs_00_03_01_00_00	恥ずかし	困り	75	0
台詞	hs_00_03_01_01_00	痛がり	困り	60	0
台詞	hs_00_03_01_01_10	激怒	困り	100	0
台詞	hs_00_03_01_02_00	アヘB	困り	75	0
台詞	hs_00_03_01_02_10	不機嫌	困り	75	0
台詞	hs_00_03_01_03_00	アヘB	困り	80	0
台詞	hs_00_03_02_00_00	不機嫌	困り	100	0
台詞	hs_00_03_02_01_00	アヘC	無表情	100	0
台詞	hs_00_03_02_02_00	激怒	無表情	100	0
台詞	hs_91_03_00_00_00	アヘC	食いしばり	100	0
台詞	hs_91_03_01_00_00	アヘB	食いしばり	80	0
台詞	hs_91_03_02_00_00	アヘB	困り	60	0
台詞	hs_10_03_00_00_00	アヘC	喜び	0	0
台詞	hs_10_03_00_00_01	アヘB	喜び	50	0
台詞	hs_10_03_00_01_10	アヘB	喜び	50	0
台詞	hs_10_03_00_02_10	アヘA	喜び	50	0
台詞	hs_10_03_00_03_00	アヘC	食いしばり	100	0
台詞	hs_10_03_01_00_00	アヘB	無表情	60	0
台詞	hs_10_03_01_01_00	アヘB	困り	80	0
台詞	hs_10_03_01_01_10	アヘB	困り	60	0
台詞	hs_10_03_01_02_00	痛がり	困り	100	0
台詞	hs_10_03_01_02_10	アヘB	喜び	60	0
台詞	hs_10_03_01_03_00	アヘB	食いしばり	80	0
台詞	hs_10_03_02_00_00	感じ	喜び	75	0
台詞	hs_10_03_02_01_00	アヘB	無表情	60	0
台詞	hs_10_03_02_02_00	感じ	無表情	75	0
台詞	hs_11_03_00_01_10	アヘC	無表情	100	0
台詞	hs_11_03_00_02_10	アヘC	喜び	100	0
台詞	hs_11_03_01_01_00	アヘB	困り	80	0
台詞	hs_11_03_01_01_10	アヘB	喜び	80	0
台詞	hs_11_03_01_02_00	痛がり	食いしばり	100	0
台詞	hs_11_03_01_02_10	アヘB	無表情	60	0
台詞	hs_11_03_02_00_00	アヘB	喜び	60	0
台詞	hs_11_03_02_01_00	アヘB	無表情	60	0
台詞	hs_11_03_02_02_00	痛がり	無表情	75	0
台詞	hs_20_03_00_00_00	アヘB	アヘD	30	0
台詞	hs_20_03_00_01_00	アヘA	アヘE	40	0
台詞	hs_20_03_00_02_00	アヘB	アヘD	100	0
台詞	hs_20_03_01_00_00	アヘA	アヘE	40	0
台詞	hs_20_03_01_01_00	アヘA	アヘE	40	0
台詞	hs_20_03_01_01_00	アヘA	アヘE	40	0
台詞	hs_20_03_01_02_00	アヘB	アヘE	100	0
台詞	hs_20_03_01_02_00	アヘB	アヘE	100	0
台詞	hs_20_03_02_00_00	アヘA	アヘE	60	0
台詞	hs_20_03_02_01_00	アヘA	無表情	50	0
台詞	hs_20_03_02_02_00	アヘB	無表情	50	0
台詞	hs_90_04_00_00_00	痛がり	困り	50	20
台詞	hs_90_04_01_01_00	痛がり	痛がり	60	0
台詞	hs_90_04_01_02_00	痛がり	食いしばり	60	0
台詞	hs_90_04_02_01_00	歪み右	困り	70	20
台詞	hs_90_04_03_00_00	歪み右	困り	70	0
台詞	hs_90_04_05_00_00	痛がり	困り	60	20
台詞	hs_00_04_00_00_00	激怒	困り	60	20
台詞	hs_00_04_00_00_01	激怒	困り	80	20
台詞	hs_00_04_00_01_10	激怒	困り	60	20
台詞	hs_00_04_00_02_10	激怒	困り	80	20
台詞	hs_00_04_01_00_00	痛がり	困り	70	0
台詞	hs_00_04_01_00_01	不機嫌	困り	70	0
台詞	hs_00_04_01_01_00	激怒	困り	100	0
台詞	hs_00_04_01_01_10	激怒	困り	0	0
台詞	hs_00_04_01_02_00	不機嫌	困り	75	0
台詞	hs_00_04_01_02_10	痛がり	困り	60	0
台詞	hs_00_04_02_00_00	激怒	困り	100	0
台詞	hs_00_04_02_01_00	歪み右	困り	70	30
台詞	hs_00_04_02_02_00	不機嫌	困り	80	0
台詞	hs_00_04_02_03_00	不機嫌	困り	80	0
台詞	hs_00_04_02_04_00	不機嫌	無表情	80	0
台詞	hs_00_04_03_00_00	不機嫌	困り	80	0
台詞	hs_00_04_03_00_01	不機嫌	困り	80	0
台詞	hs_00_04_03_01_10	不機嫌	困り	70	0
台詞	hs_00_04_04_01_00	痛がり	困り	0	20
台詞	hs_00_04_04_02_00	激怒	困り	80	0
台詞	hs_00_04_04_03_00	大泣き	困り	70	0
台詞	hs_00_04_05_00_00	激怒	困り	60	20
台詞	hs_91_04_00_00_00	アヘB	困り	60	20
台詞	hs_91_04_01_00_00	大泣き	困り	60	0
台詞	hs_91_04_03_00_00	痛がり	困り	60	0
台詞	hs_10_04_00_00_00	アヘB	喜び	50	20
台詞	hs_10_04_00_00_01	痛がり	困り	70	20
台詞	hs_10_04_00_01_10	アヘB	無表情	50	20
台詞	hs_10_04_00_02_10	アヘB	喜び	50	20
台詞	hs_10_04_01_00_00	アヘB	喜び	50	20
台詞	hs_10_04_01_00_01	痛がり	無表情	60	0
台詞	hs_10_04_01_01_00	痛がり	困り	60	0
台詞	hs_10_04_01_01_10	アヘB	喜び	50	20
台詞	hs_10_04_01_02_00	痛がり	困り	60	0
台詞	hs_10_04_01_02_10	アヘB	喜び	70	20
台詞	hs_10_04_02_00_00	感じ	喜び	70	0
台詞	hs_10_04_02_01_00	歪み左	困り	50	20
台詞	hs_10_04_02_02_00	痛がり	困り	60	0
台詞	hs_10_04_02_03_00	恥ずかし	無表情	70	0
台詞	hs_10_04_02_04_00	恥ずかし	無表情	70	0
台詞	hs_10_04_03_00_00	恥ずかし	困り	80	0
台詞	hs_10_04_03_00_01	大泣き	困り	80	0
台詞	hs_10_04_03_01_10	感じ	喜び	70	0
台詞	hs_10_04_04_01_00	激怒	食いしばり	70	20
台詞	hs_10_04_04_02_00	アヘC	食いしばり	100	0
台詞	hs_10_04_04_03_00	激怒	困り	100	0
台詞	hs_10_04_05_00_00	アヘB	困り	40	30
台詞	hs_11_04_00_01_10	アヘB	喜び	50	20
台詞	hs_11_04_00_02_10	アヘB	喜び	50	20
台詞	hs_11_04_01_01_00	大泣き	困り	60	0
台詞	hs_11_04_01_01_10	アヘB	喜び	50	0
台詞	hs_11_04_01_02_00	大泣き	困り	60	0
台詞	hs_11_04_01_02_10	アヘB	無表情	50	0
台詞	hs_11_04_02_01_00	歪み右	困り	60	0
台詞	hs_11_04_02_02_00	恥ずかし	無表情	70	0
台詞	hs_11_04_02_03_00	恥ずかし	無表情	70	0
台詞	hs_11_04_03_01_10	恥ずかし	喜び	60	0
台詞	hs_20_04_00_00_00	アヘA	アヘE	30	0
台詞	hs_20_04_00_00_01	アヘA	アヘE	20	0
台詞	hs_20_04_00_01_00	アヘB	アヘE	30	0
台詞	hs_20_04_00_02_00	アヘB	アヘD	30	0
台詞	hs_20_04_01_00_00	アヘB	アヘE	40	0
台詞	hs_20_04_01_00_01	アヘB	アヘD	50	0
台詞	hs_20_04_01_01_00	アヘA	アヘE	40	0
台詞	hs_20_04_01_02_00	アヘA	アヘE	40	0
台詞	hs_20_04_02_00_00	アヘB	アヘD	50	0
台詞	hs_20_04_02_02_00	アヘB	アヘE	50	0
台詞	hs_20_04_02_03_00	アヘB	アヘD	50	0
台詞	hs_20_04_03_00_00	アヘB	アヘE	100	0
台詞	hs_20_04_03_00_01	アヘB	アヘE	100	0
台詞	hs_20_04_03_01_00	アヘA	アヘE	50	0
台詞	hs_90_05_00_02_00	アヘB	困り	80	0
台詞	hs_90_05_00_03_00	アヘC	困り	100	0
台詞	hs_00_05_00_02_00	恥ずかし	無表情	75	0
台詞	hs_00_05_00_03_00	恥ずかし	困り	75	0
台詞	hs_10_05_00_02_00	恥ずかし	無表情	60	0
台詞	hs_10_05_00_03_00	恥ずかし	喜び	60	0
台詞	hs_11_05_00_00_00	痛がり	無表情	70	0
台詞	hs_11_05_00_01_00	恥ずかし	困り	70	0
台詞	hs_20_05_00_00_00	アヘB	アヘE	50	0
台詞	hs_20_05_00_01_00	アヘA	アヘE	30	0
台詞	hs_20_05_00_02_00	アヘA	アヘE	40	0
台詞	hs_20_05_00_03_00	アヘA	アヘE	40	0
台詞	hs_90_06_00_00_00	激怒	困り	80	0
台詞	hs_90_06_91_00_00	痛がり	困り	75	0
台詞	hs_00_06_00_00_00	不機嫌	困り	80	0
台詞	hs_00_06_00_00_01	不機嫌	困り	0	0
台詞	hs_00_06_00_01_00	痛がり	無表情	50	20
台詞	hs_00_06_00_04_00	不機嫌	困り	80	0
台詞	Hs_00_06_00_05_00	不機嫌	困り	60	0
台詞	hs_00_06_00_08_00	不機嫌	困り	80	0
台詞	hs_00_06_00_09_00	激怒	困り	0	0
台詞	hs_00_06_00_10_00	不機嫌	困り	80	0
台詞	hs_00_06_91_00_00	痛がり	無表情	100	0
台詞	hs_91_06_00_00_00	アヘB	困り	50	0
台詞	hs_10_06_00_00_00	アヘB	喜び	60	0
台詞	hs_10_06_00_00_01	痛がり	困り	70	0
台詞	hs_10_06_00_01_00	痛がり	無表情	80	0
台詞	hs_10_06_00_04_00	大泣き	困り	100	0
台詞	hs_10_06_00_05_00	アヘB	喜び	50	0
台詞	hs_10_06_00_08_00	大泣き	困り	80	0
台詞	hs_10_06_00_09_00	激怒	困り	100	0
台詞	hs_10_06_00_10_00	アヘB	困り	80	0
台詞	hs_10_06_91_00_00	痛がり	無表情	0	0
台詞	hs_11_06_00_02_00	アヘB	無表情	60	20
台詞	hs_11_06_00_03_00	アヘB	無表情	60	20
台詞	hs_11_06_00_06_00	アヘB	喜び	50	0
台詞	hs_11_06_00_07_00	アヘB	喜び	70	0
台詞	hs_20_06_00_00_00	アヘB	アヘD	100	0
台詞	hs_20_06_00_00_01	アヘA	アヘE	100	0
台詞	hs_20_06_00_01_00	アヘB	アヘE	50	0
台詞	hs_20_06_00_05_00	アヘA	アヘE	50	0
台詞	hs_20_06_00_08_00	アヘB	アヘD	80	0
台詞	hs_20_06_91_00_00	アヘA	無表情	50	0
台詞	hs_92_06_00_00_00	無表情	無表情	100	0
台詞	hs_92_06_00_00_00	無表情	無表情	100	0
台詞	hs_92_06_00_00_01	無表情	無表情	100	0
台詞	ho_40_00_00	激痛	食いしばり	100	0
台詞	ho_40_00_00	痛がり	困り	50	0
台詞	ho_40_10_00	感じ	無表情	50	0
台詞	ho_40_10_00	アヘA	喜び	50	0
台詞	ho_40_20_00	アヘC	アヘE	100	0
台詞	ho_40_20_00	アヘB	アヘD	30	0
台詞	ho_40_21_00	痛がり	無表情	50	0
台詞	ho_40_21_00	感じ	無表情	50	0
台詞	ho_40_91_00	痛がり	無表情	50	0
台詞	ho_40_91_00	感じ	無表情	50	0
台詞	ho_41_00_00	激怒	困り	80	0
台詞	ho_41_00_00	歪み右	食いしばり	70	0
台詞	ho_41_10_00	恥ずかし	無表情	70	0
台詞	ho_41_10_00	アヘB	困り	60	0
台詞	ho_41_20_00	アヘA	アヘE	100	0
台詞	ho_41_20_00	アヘB	アヘD	50	0
台詞	ho_41_21_00	恥ずかし	無表情	70	0
台詞	ho_41_21_00	アヘB	無表情	60	0
台詞	ho_41_30_00	恥ずかし	無表情	70	0
台詞	ho_41_30_00	アヘB	無表情	60	0
台詞	ho_41_31_00	恥ずかし	無表情	70	0
台詞	ho_41_31_00	アヘB	無表情	60	0
台詞	ho_41_32_00	激痛	無表情	100	0
台詞	ho_41_32_00	歪み左	無表情	50	0
台詞	ho_13_00_00	激痛	食いしばり	100	0
台詞	ho_13_00_00	歪み右	大泣き	100	0
台詞	ho_13_00_00	歪み左	悲しい	100	0
台詞	ho_13_10_00	感じ	喜び	50	0
台詞	ho_13_10_00	恥ずかし	喜び	80	0
台詞	ho_13_10_00	歪み左	喜び	50	0
台詞	ho_13_20_00	アヘB	アヘD	100	0
台詞	ho_13_20_00	アヘC	アヘE	100	0
台詞	ho_13_90_00	激痛	食いしばり	100	0
台詞	ho_13_90_00	歪み右	大泣き	100	0
台詞	ho_13_90_00	歪み左	悲しい	100	0
台詞	ho_13_91_00	感じ	無表情	50	0
台詞	ho_13_91_00	恥ずかし	無表情	80	0
